       WC_TA        RE_TA      EBIT_TA     MVE_BVTD         S_TA       Rating
     0.13000      0.30100      0.05000      0.94200      0.31700          BBB
     0.37700      0.53300      0.07300      2.85800      0.37000           AA
    -0.07800     -0.04200      0.01100      0.26200      0.16700            B
     0.27500      0.37300      0.06800      1.54700      0.23300            A
     0.37300      0.44400      0.08300      2.27700      0.25300           AA
     0.03700      0.08600      0.04700      0.56000      0.23800            B
     0.01200      0.11500      0.02800      1.60200      0.34500            A
     0.03600      0.39900      0.04100      3.96800      0.74900          AAA
     0.03800      0.06800      0.03300      0.52300      0.14800           BB
     0.50600      0.59900      0.10800      1.88200      0.27000           AA
     0.05300      0.05900      0.03800      0.50100      0.14600           BB
     0.12700      0.24200      0.05600      2.14100      0.35600           AA
     0.10500      0.32000      0.05200      4.05800      0.38100          AAA
     0.05500      0.24900      0.04200      2.98700      0.45700           AA
     0.21600      0.46700      0.06800      3.57200      0.54800           AA
     0.10600      0.22400      0.06200      0.39200      0.08600           BB
     0.54800      0.82600      0.10700      4.90300      0.26800          AAA
     0.00900     -0.20500      0.03500      0.40000      0.16700           BB
     0.26700      0.34600      0.06900      1.25000      0.25800          BBB
     0.13600      0.03800      0.05100      0.25800      0.08500           BB
     0.12800      0.33400      0.04700      2.72000      0.49200           AA
     0.23400      0.35300      0.07100      1.45800      0.22400          BBB
     0.10200      0.15100      0.05000      0.70700      0.15300          BBB
     0.22700      0.17600      0.06300      0.35200      0.09700           BB
     0.21900      0.31900      0.06500      1.13500      0.21400          BBB
     0.04100      0.22500      0.04200      1.33200      0.42700          BBB
     0.21100      0.17800      0.05700      0.63600      0.11400          BBB
     0.00800      0.03600      0.02700      0.63000      0.20100           BB
     0.25300      0.04300      0.06800      0.16900      0.06500           BB
     0.14200      0.27100      0.05800      1.60900      0.26600            A
     0.28600      0.19500      0.06800      0.89000      0.19000          BBB
     0.26000      0.38500      0.07100      1.72500      0.30900            A
     0.03600      0.07500      0.04000      0.54000      0.18100           BB
    -0.12000     -0.49500      0.01100      0.56400      0.14800           BB
     0.06300      0.10200      0.04300      0.93000      0.22200           BB
    -0.03600      0.48500      0.02000     14.41800      1.12100          AAA
     0.19100      0.30300      0.05900      1.59500      0.33200          BBB
    -0.05900      0.00400      0.01800      0.78500      0.23100           BB
     0.28200      0.35400      0.06700      2.40500      0.39800           AA
     0.08400      0.12900      0.04000      0.90400      0.30400           BB
     0.23600      0.28300      0.05900      1.88900      0.41900            A
    -0.03200     -0.04500      0.02700      0.54900      0.18200            B
    -0.05600     -0.26500      0.02300      0.14600      0.07500          CCC
     0.22300      0.28300      0.06600      1.48700      0.24600          BBB
     0.55700      1.04900      0.11600     54.20700      1.60300          AAA
     0.31300      0.51100      0.07800      3.46100      0.45200           AA
     0.35900      0.42200      0.08500      3.42300      0.37800           AA
     0.00800     -0.04000      0.03000      0.38200      0.13000           BB
     0.34600      0.38900      0.07800      1.77300      0.39800            A
     0.09500      0.11800      0.05400      0.50800      0.16900           BB
     0.08500      0.25700      0.04600      0.92900      0.17800          BBB
     0.22400      0.44900      0.06800      3.20400      0.33200           AA
     0.08200      0.34800      0.04600      3.81700      0.63300          AAA
     0.26800      0.31800      0.06200      2.91300      0.32000           AA
     0.36700      0.33400      0.06700      1.59300      0.38500            A
     0.34500      0.51700      0.08100      2.65400      0.31700          AAA
     0.36500      0.64500      0.08500      5.46900      0.30400          AAA
    -0.08300     -0.44900      0.02300      0.08000      0.07200          CCC
     0.30500      0.51900      0.07300      4.70200      0.60900          AAA
     0.53000      0.69600      0.11400      3.02900      0.24300          AAA
    -0.09600     -0.25600      0.02700      0.80600      0.40400            B
     0.00400     -0.03400      0.04000      0.20400      0.09900           BB
     0.03300      0.21200      0.03500      2.41200      0.33700            A
     0.41700      0.75200      0.09200      5.56900      0.50200          AAA
     0.10600      0.22400      0.04600      2.03900      0.39100            A
    -2.23100     -2.32000     -0.36600      0.26000      0.08800          CCC
    -0.00800     -0.12300      0.03000      0.15800      0.07800          CCC
     0.21000      0.20900      0.06600      0.76500      0.17500          BBB
     0.28600      0.51300      0.07200      2.77400      0.32800           AA
     0.03200      0.09300      0.04100      0.52800      0.23500           BB
     0.20600      0.41200      0.05700      3.27900      0.34700           AA
     0.16000      0.30300      0.04900      1.73500      0.32800            A
     0.05900      0.08600      0.04400      0.56500      0.18300           BB
     0.39600      0.42300      0.08700      1.52000      0.27000            A
     0.06600      0.28300      0.04700      1.90800      0.36800            A
    -0.06500     -0.03000      0.01200      3.44200      0.36000           AA
     0.20200      0.38200      0.06000      2.16200      0.36600           AA
     0.36200      0.30600      0.07900      0.29200      0.10700           BB
     0.32400      0.24300      0.07400      0.52500      0.11500          BBB
     0.31000      0.40100      0.07100      0.90900      0.12500          BBB
     0.49000      0.72900      0.10300      1.86700      0.12700           AA
     0.00800      0.10500      0.03200      0.77200      0.17900          BBB
     0.12600      0.00900      0.04600      0.22800      0.09400           BB
    -0.15000     -0.37400     -0.00100      0.52500      0.19900           BB
     0.46500      0.77000      0.10700     11.08000      0.91800          AAA
     0.02200      0.05000      0.03800      0.54500      0.19000            B
     0.27200      0.31600      0.07800      2.16200      0.35400           AA
    -0.14800      0.11400     -0.00300      2.02000      0.40000            A
    -0.31400     -1.97200     -0.07600      0.04300      0.08500          CCC
     0.03500      0.12700      0.04400      0.80200      0.19700          BBB
     0.19300      0.39600      0.05300      2.61700      0.35900           AA
     0.08400      0.26200      0.03300      4.08700      0.52200          AAA
     0.34500      0.74400      0.07900      5.08000      0.47700          AAA
     0.15200      0.30800      0.05200      3.10200      0.51200           AA
     0.13500      0.29500      0.06200      1.45400      0.43300          BBB
     0.14000      0.24200      0.05200      1.25700      0.30200            A
     0.14900      0.24200      0.05500      0.92400      0.17800          BBB
     0.22000      0.58900      0.07400      1.93100      0.32900           AA
     0.12400      0.52100      0.05800      2.50000      0.44800           AA
     0.23000      0.59200      0.05300      5.16100      0.92500          AAA
     0.10300      0.25600      0.04900      2.72900      0.30300           AA
    -0.00900      0.06200      0.02200      1.34000      0.29400           BB
     0.48700      0.84600      0.12000     15.06100      0.76900          AAA
    -0.01600     -0.23600      0.03200      0.24700      0.07900            B
     0.01400      0.15600      0.02700      2.74300      0.53700           AA
     0.00500      0.15100      0.02900      1.13900      0.26600          BBB
    -0.00900      0.05100      0.02700      0.96300      0.28400          BBB
     0.30100      0.45900      0.07600      1.97800      0.30300            A
    -0.00900      0.02700      0.03500      0.41600      0.13300           BB
     0.14500      0.29700      0.05300      1.32100      0.29400          BBB
    -0.00900     -0.04500      0.02900      0.35300      0.13700           BB
    -0.01700     -0.19100      0.02200      0.17900      0.10100          CCC
     0.18100      0.23600      0.05900      0.83700      0.19100           BB
     0.18400      0.20700      0.05600      1.47500      0.18200          BBB
     0.08700      0.36200      0.04600      4.73700      0.55700          AAA
     0.16400      0.36600      0.05900      2.31800      0.37500            A
     0.34700      0.51400      0.08100      4.84100      0.51900          AAA
     0.20300      0.40800      0.04200      1.79800      0.42500            A
    -0.00400      0.02200      0.03100      0.44100      0.14200           BB
    -0.04600     -0.16400      0.02700      0.21800      0.10300            B
     0.09800      0.34000      0.05200      2.60600      0.57800            A
     0.08500      0.07900      0.05000      0.28500      0.08800            B
     0.06500      0.08600      0.04500      1.35700      0.22000          BBB
     0.07800      0.16700      0.05000      1.22900      0.30100          BBB
     0.20200      0.24300      0.06200      1.21200      0.28700          BBB
     0.23100      0.27400      0.06300      1.73600      0.29200            A
     0.23600      0.37800      0.07200      1.79300      0.21100            A
     0.25600      0.45300      0.06600      2.27900      0.31400            A
     0.06500      0.09600      0.05200      0.48200      0.12900           BB
     0.38200      0.63800      0.07300      5.13700      0.70200          AAA
     0.22200      0.53000      0.05900      5.02100      0.74100          AAA
     0.39200      0.63000      0.08500      3.90700      0.42400          AAA
     0.28100      0.46000      0.07200      4.19400      0.51700          AAA
     0.14500      0.43100      0.05700      1.92100      0.20700            A
     0.50200      0.90100      0.11700     12.92600      0.91800          AAA
     0.34100      0.81400      0.07100     22.37800      1.35800          AAA
     0.14200      0.23500      0.05000      1.84900      0.35500            A
    -0.09000     -0.88700      0.01600      0.33300      0.14600          CCC
     0.06400      0.18900      0.04500      1.63600      0.44000          BBB
     0.25400      0.22600      0.06400      0.77900      0.25400           BB
     0.05100      0.04800      0.04900      0.89400      0.15600          BBB
     0.35400      0.76700      0.08300     12.53800      0.89200          AAA
     0.30500      0.51300      0.07300      2.96200      0.48000           AA
     0.33700      0.61800      0.07600      6.74100      0.65400          AAA
     0.31400      0.27500      0.07600      0.62500      0.18700           BB
     0.34400      0.58800      0.07800      8.46300      0.58900          AAA
     0.25400      0.30800      0.06200      0.76500      0.10900          BBB
     0.10000      0.09400      0.04700      0.56000      0.14500           BB
     0.04500      0.33200      0.04800      3.14600      0.54700           AA
     0.59000      0.82000      0.11600      5.38300      0.50600          AAA
     0.23600      0.52600      0.06300      4.23200      0.58600          AAA
     0.29900      0.17600      0.07000      0.51200      0.18300           BB
     0.05900      0.23000      0.03700      2.79800      0.83400           AA
     0.08400      0.46400      0.05900      5.25100      0.27900          AAA
     0.33600      0.26600      0.08000      0.36600      0.08700          BBB
    -0.10400     -0.03800      0.01100      0.82000      0.22800           BB
     0.41800      0.57500      0.08700      2.15700      0.29900           AA
     0.10900      0.11800      0.05500      0.57700      0.18500           BB
     0.28100      0.20900      0.07200      0.65400      0.13200           BB
     0.29300      0.43800      0.06700      1.63400      0.33200            A
     0.01200     -0.15000      0.04400      0.20800      0.10600            B
     0.17000      0.43500      0.05900      2.63300      0.41400           AA
     0.06000      0.24600      0.05000      1.41700      0.22600            A
     0.31900      0.41800      0.08100      1.28600      0.33500            A
    -0.07100     -0.57100     -0.00100      0.31300      0.08400          CCC
     0.28200      0.48000      0.07100      3.69300      0.63300          AAA
     0.21600      0.40100      0.05600      3.81300      0.60700          AAA
     0.24100      0.43800      0.06100      2.59500      0.59400           AA
     0.06600      0.04100      0.04600      0.32400      0.08900           BB
    -0.01500      0.08300      0.02600      1.75900      0.32600          BBB
    -0.05900     -0.12600      0.00400      0.29200      0.14900            B
     0.04500      0.20400      0.04800      0.72700      0.17200           BB
     0.36000      0.40100      0.09200      1.46400      0.21800            A
     0.03100      0.33100      0.05000      3.05700      0.57700           AA
    -0.01000      0.00600      0.03300      0.38300      0.20100            B
     0.15500      0.16800      0.05500      0.75900      0.12500           BB
     0.03900      0.26700      0.04300      2.39200      0.51100           AA
     0.35000      0.39400      0.08300      1.34700      0.24900          BBB
    -0.00200      0.06700      0.03100      0.64000      0.19500           BB
     0.29100      0.53200      0.06400      4.28200      0.40500          AAA
     0.07000      0.24300      0.05300      0.84200      0.22700          BBB
    -0.07000     -0.18800      0.01700      0.28700      0.14000            B
     0.21700      0.27800      0.05400      2.06200      0.35600            A
     0.17400      0.30300      0.06400      1.20100      0.25400          BBB
     0.00400      0.13100      0.03300      0.57800      0.23500           BB
     0.07900      0.26100      0.04500      2.31200      0.46000           AA
     0.23500      0.38400      0.06200      2.61800      0.31900           AA
    -0.01100      0.05300      0.02700      0.98100      0.25900           BB
     0.34500      0.61100      0.07500      4.80600      0.49400          AAA
     0.24000      0.34100      0.06200      1.55700      0.41200            A
     0.02700      0.06800      0.04000      0.58500      0.13800           BB
    -0.00800     -0.14500      0.02900      0.28800      0.15700            B
     0.20000      0.19200      0.05800      0.58400      0.16000           BB
     0.54800      0.98100      0.09400     24.34400      1.77800          AAA
    -0.52900     -1.85700     -0.10100      0.15500      0.10700          CCC
     0.00800     -0.05900      0.04600      0.36300      0.17100            B
    -0.02300     -0.00800      0.03700      0.49400      0.31700           BB
     0.25600      0.36000      0.06900      1.18100      0.25500          BBB
     0.01100     -0.01700      0.03200      0.45600      0.16300            B
     0.18900      0.14800      0.06600      0.40500      0.11000           BB
     0.14100      0.50100      0.05800      5.83700      0.78300          AAA
     0.19600      0.37400      0.05700      2.44800      0.38600           AA
     0.00600      0.08400      0.03300      0.79100      0.21300          BBB
    -0.04000     -0.27100      0.03400      0.36700      0.09300            B
     0.00800      0.04900      0.03700      0.47900      0.19300           BB
     0.31100      0.51600      0.07100      2.43500      0.31200           AA
     0.11700      0.26600      0.05300      1.16700      0.28100          BBB
     0.11500      0.23000      0.05000      1.96600      0.27100            A
     0.10700      0.26200      0.05600      3.10100      0.38800           AA
     0.35600      0.63800      0.07900      9.42000      1.02800          AAA
     0.00300      0.18600      0.05000      1.81600      0.47500          BBB
    -0.02700     -0.00700      0.02100      0.60100      0.10500           BB
     0.31700      0.50100      0.07000      3.95500      0.29800          AAA
     0.24500      0.36200      0.06700      1.21600      0.32700          BBB
     0.21900      0.26900      0.06600      1.05200      0.26700            A
     0.26300      0.43300      0.06100      1.98000      0.39400            A
     0.16700      0.19500      0.06100      0.83200      0.13800          BBB
     0.11100      0.18100      0.04300      1.15000      0.28300            A
     0.17200      0.23800      0.05600      0.80800      0.25900          BBB
    -0.57200     -1.91300     -0.10600      0.04500      0.05900          CCC
     0.31300      0.33500      0.08400      0.74300      0.16000          BBB
     0.23000      0.05600      0.07600      0.09800      0.07400           BB
     0.20800      0.26800      0.06500      0.85200      0.29500          BBB
     0.28700      0.50500      0.07100      3.19300      0.44500           AA
    -0.01200     -0.05000      0.02800      0.42100      0.14600            B
     0.25600      0.45300      0.06400      3.80000      0.49000          AAA
     0.05000      0.13000      0.05100      0.46500      0.20300            B
     0.30700      0.40900      0.07500      1.46400      0.32100            A
    -0.14000     -0.47500     -0.00200      0.41300      0.13400            B
     0.15500      0.20600      0.05300      1.00300      0.26200          BBB
    -0.02600     -0.05400      0.03500      0.37600      0.13300           BB
     0.03800      0.01100      0.05600      0.77900      0.40800          BBB
     0.03700     -0.04300      0.03700      0.17800      0.07500           BB
     0.21500      0.29700      0.06500      1.13900      0.27000           BB
    -0.00200      0.08400      0.03400      0.90700      0.29000           BB
     0.03800      0.21000      0.04000      1.66700      0.31800          BBB
     0.13700      0.34100      0.05200      2.14300      0.27500            A
     0.01400      0.01100      0.03700      0.35200      0.15800            B
     0.11000      0.19900      0.05100      1.81600      0.29300            A
     0.09200      0.22900      0.04600      1.73600      0.32600            A
     0.11900     -0.02500      0.05500      0.15700      0.07300            B
     0.31700      0.52900      0.08000      1.78100      0.30900           AA
    -0.01700      0.39300      0.02900     10.85100      0.84800          AAA
    -0.01800     -0.38000      0.02500      0.14200      0.08900            B
     0.40700      0.34200      0.10800      0.71800      0.11900          BBB
    -0.03900     -0.26800      0.00200      0.41600      0.20600            B
     0.38900      0.51100      0.08600      2.59300      0.34400           AA
     0.22600      0.39900      0.05900      2.76800      0.32200           AA
     0.38400      0.62900      0.07000      4.66600      0.45100          AAA
     0.37500      0.73100      0.09200      8.91000      0.67700          AAA
     0.21100      0.22900      0.06700      0.97100      0.18700            A
     0.11700      0.22700      0.05300      1.15500      0.30300          BBB
    -0.00800     -0.12200      0.03700      0.20400      0.11600            B
     0.03000      0.13200      0.03700      0.88200      0.25700           BB
    -0.01400     -0.28200      0.02800      0.24100      0.07800            B
     0.27400      0.44500      0.06900      2.67600      0.38200           AA
     0.01900      0.26000      0.04200      3.33100      0.45300           AA
     0.19000      0.36600      0.05200      1.94000      0.30600            A
     0.05000      0.19200      0.03400      1.85400      0.38500          BBB
    -0.42700     -1.91400     -0.02500      0.03800      0.06700          CCC
    -0.06500      0.18200      0.02400      3.05400      0.72800            A
     0.08400      0.12400      0.05900      0.60200      0.17500          BBB
     0.16900      0.25400      0.06300      0.70300      0.20300          BBB
     0.33400      0.38500      0.07000      0.61000      0.16900           BB
     0.09400      0.31500      0.04800      2.08400      0.38400            A
    -0.02000      0.07400      0.02700      0.45200      0.17700           BB
    -0.07800     -0.20000      0.00500      0.57000      0.32400           BB
     0.02000      0.06400      0.03500      1.02900      0.30800          BBB
     0.01300      0.18900      0.04400      1.78500      0.45000            A
     0.12500      0.28000      0.05600      1.26600      0.36400          BBB
    -0.03400     -0.00800      0.03000      0.52500      0.31100           BB
    -0.02000      0.03400      0.03100      0.67900      0.19900          BBB
     0.22400      0.41600      0.05700      2.10600      0.28000            A
    -0.00300     -0.02700      0.03800      0.45300      0.23400            B
     0.30000      0.30700      0.06400      1.70900      0.31100            A
     0.30200      0.58000      0.06900      5.48100      0.49600          AAA
    -0.04700      0.04600      0.02500      1.49400      0.28900          BBB
     0.23300      0.09600      0.07200      0.21800      0.09900            B
     0.46600      0.50800      0.09000      2.74800      0.33000           AA
     0.34000      0.45200      0.07300      2.63900      0.39500           AA
     0.26600      0.38900      0.06500      1.08900      0.18000          BBB
     0.06700      0.19400      0.04700      1.79700      0.41000            A
     0.10700      0.25200      0.04900      1.27900      0.31700          BBB
     0.11100      0.28000      0.05400      2.54600      0.42500            A
     0.16300      0.51000      0.05200      3.51800      0.53700          AAA
     0.19800      0.66800      0.06700      7.09700      0.92900          AAA
     0.48800      0.81500      0.10700     14.87600      1.06800          AAA
     0.05800      0.12400      0.04000      0.48200      0.13300           BB
     0.04200      0.03000      0.04400      0.45500      0.12200            B
     0.21900      0.40100      0.06800      1.73600      0.30700            A
     0.36600      0.52300      0.07100      2.80700      0.31900           AA
     0.39000      0.62600      0.08100      3.68700      0.48000          AAA
     0.03000      0.01800      0.04000      0.70800      0.21900          BBB
     0.19100      0.51200      0.06500      4.78800      0.62400          AAA
     0.55300      0.43300      0.09900      0.95700      0.29500          BBB
     0.46300      0.71100      0.08400     13.84500      1.09500          AAA
     0.02700      0.01200      0.03200      0.53300      0.14300           BB
     0.21700      0.31500      0.06500      1.16700      0.21100          BBB
     0.15100      0.33600      0.05700      2.02600      0.31000            A
     0.16900      0.32800      0.05400      1.80900      0.27800            A
     0.35700      0.75500      0.08900      7.66900      0.50600          AAA
    -0.19100     -0.48400     -0.02100      0.85400      0.17900           BB
     0.15800      0.46700      0.06000      6.14700      0.41700          AAA
     0.09700      0.31900      0.04800      3.22900      0.47500           AA
     0.44000      0.79400      0.09600     14.84200      1.13700          AAA
     0.30300      0.39600      0.07700      1.52400      0.29100            A
     0.30700      0.57300      0.07400      3.32600      0.48000          AAA
     0.30000      0.18200      0.06700      0.13800      0.07200            B
     0.12700      0.17100      0.05000      0.25200      0.08300           BB
     0.40000      0.21800      0.05900      0.58800      0.15700          BBB
     0.41700      0.68100      0.07800      5.86000      0.60000          AAA
     0.20200      0.01000      0.05900      0.41600      0.15800            B
    -0.03200     -0.06300      0.02800      0.51700      0.23000           BB
    -0.03600     -0.19900      0.03000      0.19100      0.09900            B
    -0.01300     -0.10200      0.02300      0.48300      0.18600            B
     0.26200      0.42000      0.07100      2.21900      0.30500           AA
    -0.00200      0.13000      0.02600      0.72100      0.20300           BB
    -0.00400      0.20000      0.02500      4.23800      0.49900          AAA
     0.26700      0.44300      0.06300      2.90500      0.29200           AA
     0.06400      0.29200      0.04800      1.97300      0.34200            A
     0.08600      0.18100      0.05400      0.98300      0.27200          BBB
    -0.06000     -0.33500      0.02100      0.14500      0.09800          CCC
     0.28200      0.28900      0.09000      0.56000      0.11700           BB
     0.00800      0.04800     -0.01000      0.32500      0.10900            B
     0.00100     -0.30000      0.03200      0.28700      0.09000            B
     0.04300     -0.05700      0.03700      0.15300      0.10400            B
     0.16900      0.41300      0.06200      2.41800      0.39100           AA
     0.10800      0.22800      0.05300      1.66800      0.30300          BBB
     0.03300      0.12700      0.03900      1.37200      0.30000          BBB
     0.19200      0.10400      0.05700      0.25700      0.08400           BB
     0.09800      0.16300      0.04900      0.95300      0.20500          BBB
    -0.03900     -0.07900      0.02400      0.54700      0.16800           BB
     0.29300      0.41600      0.06600      3.69700      0.44200           AA
    -0.00700     -0.00400      0.03300      0.40100      0.10300           BB
     0.05800     -0.23000      0.04900      0.11900      0.08100          CCC
     0.01100      0.19200      0.03000      2.21500      0.43200            A
     0.09900      0.17600      0.05200      0.66600      0.17600           BB
     0.27800      0.35400      0.07000      1.66700      0.28400            A
     0.13900      0.16000      0.04800      0.59500      0.18500           BB
     0.18800      0.10100      0.05500      0.29000      0.10600           BB
     0.29800      0.56000      0.07200      4.96400      0.64600          AAA
     0.19000      0.36100      0.06600      1.85500      0.30900           AA
     0.07800      0.20900      0.04000      1.09000      0.33700          BBB
     0.20500      0.24700      0.05900      1.00600      0.27800          BBB
     0.00700     -0.13300      0.03100      0.27800      0.11000            B
     0.02400     -0.28200      0.03000      0.11100      0.11400            B
     0.15700      0.55700      0.06800      1.45700      0.27200            A
    -0.00400     -0.03900      0.02900      0.29800      0.12600           BB
     0.14700      0.34800      0.05000      1.74600      0.33300            A
     0.09800      0.08900      0.05100      0.41600      0.09200           BB
    -0.04300     -0.81600      0.03500      0.04700      0.04100          CCC
     0.09000      0.21300      0.04500      1.24400      0.24800          BBB
     0.05500      0.29800      0.05200      1.29000      0.30600            A
     0.19000      0.30900      0.06000      1.26200      0.29300          BBB
     0.16100      0.33800      0.05700      1.95400      0.26600            A
    -0.09600     -0.52500      0.00700      0.27900      0.10100            B
     0.13800      0.31200      0.05100      3.56300      0.61200           AA
    -0.04200     -0.01600      0.01400      0.82500      0.25300            B
     0.01600      0.10100      0.03400      0.73000      0.26600           BB
     0.18100      0.13300      0.05800      0.50000      0.13500            B
     0.43600      0.64400      0.08900      4.14600      0.38400          AAA
    -0.09800     -0.11000      0.01800      0.45100      0.16900            B
     0.01700     -0.00300      0.03500      0.45700      0.14600            B
     0.70300      1.12100      0.14400     15.47600      0.57900          AAA
     0.12000      0.04000      0.04400      0.48900      0.13600           BB
     0.01100     -0.03300      0.02600      0.35400      0.13400           BB
    -0.00600      0.10500      0.03300      0.88200      0.28600           BB
     0.00500      0.04500      0.03400      1.00100      0.15400          BBB
     0.26700      0.30000      0.07100      1.11600      0.22600          BBB
     0.49700      0.70900      0.09200      6.15100      0.52300          AAA
    -0.02300      0.06700      0.02400      1.35100      0.23100          BBB
     0.01900      0.16700      0.03900      1.19200      0.19400           BB
     0.24100      0.38500      0.06000      2.71400      0.40800           AA
     0.53700      0.66500      0.10800      2.96500      0.33100          AAA
     0.33800      0.26300      0.05600      1.46900      0.30800          BBB
    -0.01400     -0.26400      0.02600      0.21900      0.12700            B
    -0.01100     -0.26600      0.03400      0.22500      0.09800            B
     0.12500      0.17400      0.05300      0.72500      0.15300           BB
     0.17100      0.25000      0.06000      1.51900      0.31500          BBB
     0.24000      0.30600      0.06000      0.97600      0.26300          BBB
     0.08800      0.12900      0.04800      0.61700      0.12800          BBB
    -0.06400      0.12500      0.02400      1.24800      0.27000           BB
     0.25700      0.33800      0.06400      1.12200      0.18600          BBB
     0.02400      0.11000      0.04400      0.59000      0.09200           BB
     0.12300      0.15900      0.05400      0.78200      0.19900            B
     0.22600      0.33100      0.06400      2.11100      0.29500            A
     0.06100     -0.17300      0.04000      0.10800      0.09900           BB
     0.12200      0.29900      0.05300      1.68700      0.32600            A
     0.01300      0.06900      0.04000      0.40400      0.14800           BB
     0.45000      0.40300      0.08900      0.41500      0.08500           BB
     0.08100      0.19800      0.05100      1.43600      0.20700          BBB
     0.07500      0.22900      0.04400      2.46900      0.39200           AA
    -0.04500      0.13200      0.03100      1.85800      0.41900            A
     0.03400      0.17600      0.04400      1.19700      0.23700          BBB
    -0.12000     -0.29200      0.01000      0.41800      0.19100           BB
     0.00900     -0.06900      0.03600      0.54800      0.16100           BB
     0.01700      0.09200      0.03300      0.82100      0.26300           BB
     0.41000      0.68300      0.08500      4.52200      0.59300          AAA
     0.14300      0.33300      0.05600      2.56600      0.41200           AA
    -0.06000      0.06200      0.02500      0.95500      0.14700          BBB
     0.22000      0.33300      0.05800      0.95600      0.20500          BBB
    -0.02700      0.10600      0.03200      1.77700      0.29500          BBB
     0.13400      0.29900      0.05400      1.13000      0.24000            A
    -0.03600      0.06100      0.00900      3.82700      0.84200           AA
     0.02200     -0.26600      0.03000      0.21800      0.08200          CCC
     0.29000      0.41300      0.06200      2.06000      0.47000           AA
     0.19100      0.37300      0.05800      2.17000      0.31700           AA
