       WC_TA        RE_TA      EBIT_TA     MVE_BVTD         S_TA
     0.38900      0.51400      0.07600      2.20100      0.35700
     0.14400      0.30600      0.05200      2.41900      0.27900
     0.35600      0.21000      0.07400      0.59200      0.09400
     0.17900      0.39100      0.05700      2.55500      0.39900
     0.07200      0.21900      0.04500      1.07000      0.25200
    -0.15700     -0.50100     -0.00200      0.21500      0.10400
    -0.02200      0.10900      0.02700      1.29500      0.32900
     0.11600      0.13700      0.06200      0.86400      0.16200
    -0.06500      0.03500      0.02200      0.48100      0.36100
     0.30300      0.37800      0.07200      1.51400      0.27400
     0.12100      0.25500      0.05600      0.96600      0.20600
    -0.00400     -0.03100      0.03100      0.43800      0.22700
     0.08800      0.31600      0.05400      1.23900      0.24200
     0.04900      0.11100      0.04400      0.68500      0.24600
     0.02200     -0.04700      0.03100      0.93500      0.38600
     0.41900      0.68000      0.09100      2.97100      0.36700
     0.04400      0.24300      0.03900      2.10500      0.37000
     0.29900      0.37900      0.07700      1.89700      0.36500
     0.24500      0.61200      0.06500      6.93100      0.87000
    -0.14500     -1.09100     -0.00500      0.08000      0.10200
     0.26000      0.37200      0.06400      1.75500      0.37300
    -0.09800     -0.59600      0.00100      0.15300      0.06800
     0.20900      0.31800      0.06200      1.07200      0.19000
     0.02800      0.07100      0.03800      0.70000      0.20900
    -0.42100     -1.28000     -0.09400      0.14600      0.10300
     0.00200     -0.00400      0.03600      0.39700      0.15700
    -0.06500     -0.00300      0.00100      0.78000      0.17600
    -0.05400     -0.30900      0.02700      0.22800      0.12400
     0.30200      0.34800      0.06600      2.09100      0.38800
    -0.08100     -0.23300      0.01700      0.23800      0.11100
     0.07600      0.13500      0.04000      0.96500      0.21700
     0.03200     -0.00100      0.05000      0.10600      0.07300
     0.05800      0.19700      0.03500      2.16300      0.32300
     0.12100      0.14800      0.04700      0.65200      0.19400
     0.28300      0.54200      0.06700      2.42100      0.45100
     0.29800      0.37900      0.08700      1.77900      0.31300
     0.01800     -0.03000      0.03600      0.37200      0.16700
     0.12400      0.13000      0.04700      0.60800      0.15800
    -0.00400     -0.11400      0.03700      0.17200      0.10000
    -0.12400     -0.07900      0.00000      1.07200      0.18700
     0.29400      0.45500      0.07500      1.96800      0.33100
     0.21800      0.22400      0.05900      0.73000      0.12900
    -0.03500     -0.05000      0.01800      0.45600      0.15000
     0.03600     -0.01100      0.03800      0.29900      0.11200
     0.22900      0.38100      0.06000      1.98500      0.31300
     0.15300      0.23900      0.05400      1.38200      0.32600
     0.09600      0.23200      0.04900      1.39700      0.28700
     0.32600      0.27100      0.07600      0.46100      0.07800
     0.57500      0.76500      0.11500      4.64200      0.46200
     0.09100      0.08000      0.04400      0.55700      0.12900
     0.17500      0.40300      0.05600      4.03500      0.53500
     0.26000      0.29400      0.06600      1.05600      0.24400
     0.10500      0.30000      0.04600      1.38100      0.23400
    -0.00800      0.04300      0.03400      0.89000      0.31800
     0.11900      0.22700      0.04800      1.17000      0.27100
     0.13100      0.17600      0.04700      0.62600      0.13800
    -0.02900     -0.00700      0.02600      0.54300      0.19700
    -0.05300      0.02400      0.02200      0.81400      0.32200
     0.14000      0.34600      0.05400      1.56800      0.34800
     0.31400      0.41900      0.07600      2.00700      0.35900
     0.08000      0.25700      0.05400      1.12400      0.24700
     0.16300      0.22000      0.06900      0.72600      0.19800
     0.00500     -0.00000      0.03600      0.40700      0.15600
     0.12600      0.33200      0.04900      1.70100      0.27200
     0.01200     -0.10300      0.02200      0.42400      0.16600
     0.21700      0.44600      0.05800      2.71800      0.72200
    -0.03700     -0.35900      0.03300      0.07600      0.06300
     0.04600      0.01800      0.04900      0.32000      0.10700
     0.28500      0.53800      0.06900      2.98900      0.32900
     0.21700      0.27600      0.06100      1.35300      0.26100
     0.19300      0.36600      0.05700      2.64200      0.32800
     0.04000      0.11700      0.04300      0.86400      0.15700
     0.33100      0.25600      0.06900      1.10400      0.23600
     0.13400      0.26300      0.05500      1.10400      0.25000
     0.23200      0.41700      0.06300      3.14800      0.35100
     0.10200      0.43300      0.04400      2.83200      0.48700
     0.07000     -0.00600      0.04200      0.23000      0.09300
     0.24000      0.37600      0.06600      1.68500      0.28700
    -0.87200     -1.98700     -0.25600      0.15400      0.10300
     0.09700      0.31000      0.05200      1.93000      0.37100
    -0.00400     -0.23400      0.03200      0.12900      0.09100
     0.01200      0.08000      0.03200      1.27700      0.28100
     0.04400      0.21300      0.04400      1.69300      0.27200
     0.05700      0.08300      0.05300      0.63200      0.33400
     0.16300      0.23300      0.05300      1.05900      0.20400
     0.02500      0.05100      0.04200      0.40400      0.12800
     0.36900      0.53200      0.07900      2.40000      0.31300
     0.11600      0.02000      0.05000      0.28500      0.08800
     0.05500      0.13600      0.03600      0.84300      0.25700
    -0.02600     -0.05100      0.03100      0.65600      0.15200
    -0.01100      0.09000      0.03100      1.36000      0.33600
     0.09800      0.23300      0.03700      1.72100      0.23800
    -0.09100     -0.44300      0.02100      0.18700      0.09200
     0.04300      0.14500      0.03300      1.46200      0.27100
     0.24800      0.30300      0.06700      1.21900      0.29500
    -0.09400     -0.23100      0.00900      0.35900      0.20300
     0.50500      0.61200      0.09800      2.45900      0.31800
     0.15000      0.49600      0.05700      4.20400      0.36700
     0.04400      0.05500      0.04100      0.79500      0.24600
     0.20900      0.13200      0.05900      0.52300      0.14000
     0.44400      0.52300      0.10100      1.39100      0.22900
     0.39000      0.86200      0.08100     17.16500      1.04100
     0.34700      0.42200      0.06600      1.94500      0.20100
     0.09300      0.12900      0.04400      0.57800      0.14400
     0.33900      0.55000      0.07400      3.48500      0.51300
     0.10200      0.15700      0.05400      0.54100      0.22000
     0.25600      0.54900      0.06300      3.35400      0.47400
     0.24300      0.34800      0.07200      1.20400      0.19000
     0.05600      0.08400      0.04100      0.73000      0.21400
     0.08100      0.37000      0.04300      2.89700      0.49200
     0.32500      0.42000      0.08100      3.68400      0.54500
     0.01400      0.09100      0.03300      0.59900      0.31800
    -0.08600     -0.06300      0.01600      1.73600      0.47500
     0.13100      0.30000      0.05100      3.36300      0.39400
     0.28500      0.33600      0.07200      1.01000      0.23800
     0.23800      0.27400      0.06300      1.40600      0.26300
     0.07600      0.22100      0.04200      1.94100      0.31100
     0.69300      0.95800      0.14500      5.90200      0.71600
    -0.06900     -0.31100      0.00800      0.37800      0.16200
     0.23800      0.20800      0.08300      0.53200      0.13300
     0.11700      0.17700      0.05800      1.40200      0.25000
     0.22000      0.39800      0.05400      3.05500      0.45300
     0.06600      0.04400      0.04100      0.35000      0.20700
    -0.09400     -0.14900      0.01000      0.56400      0.17200
     0.26100     -0.01800      0.05800      0.12600      0.10000
     0.07200      0.11700      0.05200      0.84800      0.19200
     0.03700      0.20400      0.04100      1.48300      0.32600
     0.09500      0.12700      0.06100      0.64400      0.15100
     0.19300      0.47700      0.06300      4.17200      0.72800
     0.06300      0.18400      0.04200      1.13200      0.22200
     0.03100      0.08500      0.03800      1.37600      0.27400
     0.41000      0.55400      0.08500      1.73000      0.26400
     0.18000      0.12000      0.06000      0.53800      0.12800
     0.03400      0.12300      0.03700      0.87200      0.17800
     0.29100      0.31400      0.07500      1.11600      0.20600
     0.16900      0.20800      0.06000      0.58000      0.15700
     0.41000      0.15200      0.09500      0.40300      0.11000
     0.41200      0.58200      0.09500      5.61800      0.64800
     0.38900      0.45300      0.09100      1.33000      0.17500
     0.10700      0.23600      0.04800      2.13400      0.26300
     0.15800      0.22800      0.05700      0.79600      0.19000
     0.19100      0.23700      0.05900      0.90700      0.22200
     0.11500      0.19400      0.05200      1.08600      0.26100
    -0.08100     -0.17400      0.01900      0.34800      0.12400
    -0.06900     -0.17500      0.01500      0.40300      0.12900
     0.23900      0.38200      0.06100      3.04000      0.32700
     0.09300      0.22300      0.05200      0.79600      0.13100
    -0.01100      0.13600      0.02500      1.75700      0.35600
     0.22500      0.32000      0.06500      1.77000      0.28800
     0.36200      0.47400      0.07900      2.24300      0.33500
     0.20700      0.33400      0.06500      2.00200      0.23900
     0.16000      0.11800      0.06200      0.26000      0.10400
     0.08500      0.30400      0.04600      2.90600      0.35300
     0.46500      0.31600      0.07900      0.50400      0.15300
     0.20200      0.33200      0.06500      1.91000      0.29900
     0.04200      0.08000      0.04300      0.57300      0.14900
    -0.02700     -0.48200      0.02500      0.15900      0.10600
     0.24500      0.37400      0.06300      3.14700      0.51100
     0.40300      0.63700      0.09300      3.96200      0.49300
     0.46900      0.54800      0.09100      1.14700      0.18700
     0.25600      0.71400      0.05800      7.43500      0.56000
     0.35100      0.48100      0.07200      2.28400      0.36100
     0.04800      0.03900      0.04400      0.29500      0.12000
     0.10900      0.23500      0.04400      2.14500      0.32100
     0.03000      0.09900      0.02400      1.24700      0.29400
    -0.09200      0.09100      0.01100      2.71500      0.55400
     0.20100      0.18600      0.06700      0.89500      0.15900
    -0.04200      0.09600      0.01900      2.31700      0.31700
     0.31500      0.59600      0.05700      5.87800      0.47400
     0.33900      0.58300      0.07600      4.27000      0.74400
     0.40600      0.52900      0.09100      2.36000      0.34500
    -0.07800     -0.68200      0.00700      0.09200      0.11400
     0.00700      0.07300      0.03300      0.74800      0.15600
     0.06900      0.24700      0.04500      3.54800      0.51000
    -0.03300     -0.05800      0.02100      0.39500      0.18000
     0.48100      0.50600      0.09500      2.12900      0.31300
     0.14900      0.38000      0.05200      3.50300      0.46100
     0.48700      0.81400      0.10100      5.61700      0.47100
     0.40400      0.65800      0.08100      4.08700      0.37100
     0.09700     -0.06200      0.05300      0.07500      0.06700
     0.15600      0.36500      0.05900      2.43900      0.45300
     0.19400      0.39600      0.06600      2.67900      0.54600
     0.37900      0.44100      0.07300      1.98100      0.29800
     0.15200      0.40700      0.06200      2.60400      0.29100
     0.16100      0.41100      0.05400      2.23200      0.41900
     0.19800      0.16400      0.05100      0.27200      0.09700
     0.20300      0.11400      0.06400      0.32300      0.10700
    -0.03200      0.15000      0.02400      1.47800      0.38200
    -0.06300      0.23100      0.02600      5.39200      0.89300
     0.05400      0.14200      0.04000      0.48700      0.12800
     0.28200      0.41100      0.06800      2.20700      0.39500
     0.49200      0.46800      0.09200      1.66200      0.22000
     0.01400      0.07500      0.03400      0.70900      0.22300
    -0.01600      0.11000      0.02900      1.96900      0.44300
     0.16900      0.21000      0.05400      0.72400      0.26600
     0.04300      0.08900      0.03600      0.60400      0.13500
     0.12100      0.58200      0.05400      4.40100      0.47800
     0.57500      0.50800      0.10500      1.45600      0.36300
    -0.01600      0.03600      0.03600      0.76300      0.15100
     0.04200      0.14400      0.03800      1.32800      0.33400
     0.06600      0.18800      0.05500      0.50700      0.20600
     0.05600      0.20500      0.04100      0.58800      0.11200
     0.12700      0.31200      0.05200      1.37800      0.31800
     0.07800      0.13100      0.05300      0.45500      0.14500
    -0.09600     -0.51300      0.01000      0.17200      0.09300
     0.05900      0.31300      0.04400      4.15700      0.50500
     0.35700      0.22000      0.09500      0.19200      0.11200
     0.14200      0.17400      0.05600      1.05700      0.23400
     0.22400      0.42100      0.06100      2.61600      0.34100
     0.27400      0.37900      0.07200      1.62000      0.26100
     0.03700      0.00500      0.03700      0.50100      0.13400
    -0.13900     -0.56100      0.00100      0.33500      0.14400
     0.45300      0.85300      0.11000      6.22500      0.55200
     0.08600      0.16800      0.04900      0.82500      0.15700
     0.41700      0.49800      0.08000      2.65000      0.35000
     0.26100      0.50000      0.06900      5.37600      0.80000
     0.19600      0.26500      0.06100      1.29100      0.31300
     0.49300      0.73700      0.07100     16.77400      1.09700
     0.23100      0.41400      0.06500      1.77600      0.27200
     0.02200      0.15200      0.03400      1.02600      0.22700
     0.23200      0.36300      0.07500      1.07900      0.25800
     0.10900      0.23000      0.04800      1.51500      0.39600
     0.04600      0.06600      0.04100      0.52500      0.12600
     0.21300      0.26600      0.06600      0.68400      0.21300
     0.12700      0.29700      0.05200      2.10200      0.27600
     0.05600      0.23600      0.03600      3.72100      0.49200
     0.11800      0.21000      0.05100      2.13600      0.38700
    -0.34600     -0.99500     -0.01800      0.05700      0.06700
     0.49300      0.67800      0.10400      3.77300      0.54900
    -0.09800     -0.03900      0.00900      0.75000      0.23300
     0.25000      0.34500      0.07200      1.67500      0.23100
     0.13200      0.03700      0.05300      0.16600      0.11000
     0.26600      0.44000      0.07200      2.58600      0.41200
     0.06100      0.20200      0.04600      1.38100      0.35400
     0.45000      0.58500      0.07600      5.59600      0.55400
    -0.18400      0.06800     -0.02300      5.03400      1.08100
     0.03000      0.08700      0.04200      0.68800      0.19700
     0.11800      0.15600      0.05300      0.66900      0.20300
     0.13200      0.38000      0.05300      3.03500      0.38300
     0.25700      0.42200      0.05700      2.57000      0.42400
     0.05100      0.01900      0.04200      0.25700      0.16400
    -0.03300     -0.29200      0.02300      0.27300      0.15500
     0.19000      0.41300      0.06400      3.59600      0.40400
     0.21900      0.44500      0.05000      4.24800      1.05500
    -0.01500     -0.06200      0.03700      0.41500      0.09200
     0.04100      0.19700      0.04300      0.79100      0.13200
    -0.00200      0.02600      0.03100      0.58600      0.23700
     0.47700      0.61800      0.09800      1.92900      0.38800
     0.13300      0.08700      0.05000      0.79900      0.19200
     0.42300      0.50100      0.09000      3.51800      0.62400
     0.11000      0.18400      0.04800      0.78200      0.22700
     0.20400      0.15500      0.06800      0.42400      0.13400
     0.09600     -0.13600      0.06800      0.05700      0.06600
     0.07300      0.29100      0.04200      2.17500      0.39900
     0.07900      0.17900      0.04500      0.79900      0.17300
    -0.00300      0.23100      0.02600      2.46500      0.32200
     0.14600      0.52900      0.05500      7.07800      0.58700
     0.18100      0.44000      0.06000      3.09200      0.40100
     0.13700      0.17400      0.05100      0.62000      0.15900
    -0.04000     -0.03700      0.01500      0.78900      0.26300
     0.02200      0.00000      0.03700      0.32000      0.09800
     0.05300      0.31500      0.04500      3.77500      0.40800
     0.02900      0.10700      0.03600      0.79100      0.22500
     0.31700      0.37600      0.07300      1.42200      0.20800
     0.26000      0.41600      0.06200      1.99200      0.32800
     0.02300     -0.13500      0.03800      0.22600      0.09500
     0.42400      0.44600      0.09600      1.18600      0.23100
     0.10500      0.19600      0.04900      0.67700      0.17600
    -0.03400      0.07600      0.03100      0.97600      0.28000
     0.02900      0.28000      0.04000      1.50700      0.30000
